abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
agent	n. 代理人，代理商；药剂；特工；动因vt. 由…作中介；由…代理adj. 代理的n. (Agent)人名；(罗)阿真特
aggravate	vt. 加重；使恶化；激怒
aggregate n. 总数，合计
aggressive	adj. 侵略性的；好斗的；有进取心的；有闯劲的
agitation	n. 激动；搅动；煽动；烦乱
ago	adv. 以前adj. 以前的n. (Ago) （美）阿戈（人名）
agony	n. 苦恼；极大的痛苦；临死的挣扎
agree	vt. 同意，赞成；承认；约定，商定vi. 同意，意见一致；约定，商定
agreeable	adj. 令人愉快的；适合的；和蔼可亲的
agreement	n. 协议；同意，一致
agriculture	n. 农业；农耕；农业生产；农艺，农学
ahead	adv.朝前地，在前面；提前地；领先；（为进步而）向前地；（数量
AI	ˈaɪ/ abbr. 人工智能（artificial intelligence）
aid	n. 援助；帮助；助手；帮助者vt. 援助；帮助；有助于vi. 帮助n.
aim	v. 目的在于；引导；把……对准；瞄准n. 目的；瞄准
air	n. 空气，大气；天空；样子；曲调vt. 使通风，晾干；夸耀vi. 通风
air-condition v. 设以空调设备，用空调调节
aircraft	n. 飞机，航空器
airline	n. 航空公司；航线adj. 航线的
airplane	n. 飞机
airport	n. 机场；航空站
aisle n. (教堂、戏院等的)通道，走廊
alarm	n. 闹钟；警报，警告器；惊慌vt. 警告；使惊恐
album n. 照相簿，邮票册
alcohol	n. 酒精，乙醇
alert	adj.提防的,警惕的n.警惕,警报
alien	adj. 外国的；相异的，性质不同的；不相容的n. 外国人，外侨；外星人vt. 让渡，转让n. (Alien)人名；(法)阿利安
alienate v. 使疏远，离间
alike	adj.相似的；相像的adv. 十分相像地，很相似地；两者都，同样
alive	adj. 活着的；活泼的；有生气的
all	adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部
allege	vt. 宣称，断言；提出…作为理由
alleviate	vt. 减轻，缓和
alliance	n. 联盟，联合；联姻
allocate	vt. 分配；拨出vi. 分配；指定
allow	vt. 允许；给予；认可vi. 容许；考虑
allowance	n. 津贴，零用钱；允许；限额vt. 定量供应
alloy	əˈlɔɪ/ n. 合金v. 把……铸成合金；使……减低成色n. (Alloy) （美、法、英、巴、加）阿洛伊（人名）
almost	adv. 差不多，几乎
alone	adj.独自的；单独的；单干的；孤独的；仅仅的；唯一的adv. 独自地；单独地；单干地；只，仅仅；仅仅……就；唯一地；独力地
along	prep. 沿着；顺着；（事件）进展adv. 一起；向前；来到；越来越
alongside	prep. 在……旁边，沿着……的边；与 ……一起，合作；与……同时，共存；与……相比adv. 在旁边
aloud	adv. 大声地；出声地
alphabet	‘ælfəbit/ n.字母表，字母系统
already	adv. 已经，早已；先前
also	adv. 也；而且；同样conj. 并且；另外n. (Also)人名；(罗)阿尔索
alter	vt. 改变，更改vi. 改变；修改n. （Alter）（美、德）阿尔特（人名）
alternate	adj.交替的,轮流的,预备的v.交替,轮流,改变
alternative	adj. 供选择的；选择性的；交替的n. 二中择一；供替代的选择
although	conj. 尽管，虽然；但是，然而
altitude	n. 高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔
altogether	adv. 完全地；总共；总而言之n. 整个；裸体
aluminium	n. 铝adj. 铝的
always	adv. 永远，一直；总是；常常
amateur	n. 业余爱好者；生手，外行adj. 业余爱好的；业余的；外行的；不熟练的
amaze	vt. 使吃惊
ambassador	n. 大使；代表；使节
ambiguous	adj. 模糊不清的，模棱两可的；不明确的，不明朗的；引起歧义的
ambition	n. 野心，雄心；抱负，志向vt. 追求；有…野心
ambitious	adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambulance	n. [车辆][医] 救护车；战时流动医院
amend	vt. 修改；改善，改进vi. 改正，改善；改过自新n. (Amend)人名；
amends	n. 赔偿；赔罪v. 修订（amend的第三人称单数）；改进
America	n. 美洲（包括北美和南美洲）；美国
American	n. 美国人，美洲人；美国英语adj. 美国的，美洲的；地道美国式的
ammunition n. 弹药
among	prep.在……中间，周围是；在……之中，……之一；与……在一
amongst	prep. 在……当中（等于 among）
amount	n. 数量，数额；总数；（感情、特质的）程度v. 总计，合计；等于，相当于；发展成，变成
ampere	n. 安培（计算电流强度的标准单位）
ample	adj. 丰富的；足够的；宽敞的n. (Ample)人名；(西)安普尔
amplify	vt. 放大，扩大；增强；详述vi. 详述
amuse	vt. 娱乐；消遣；使发笑；使愉快
analogy	n. 类比；类推；类似
analyse	vt. 分析；分解；细察
analysis	n. 分析；分解；验定
analytic	adj. 分析的；解析的；善于分析的
analytical	adj. 分析的；解析的；善于分析的
ancestor	n. 始祖，祖先；被继承人
anchor	n. 锚；抛锚停泊；靠山；新闻节目主播vt. 抛锚；使固定；主持节目vi. 抛锚adj. 末棒的；最后一棒的
ancient	adj. 古代的；古老的，过时的；年老的n. 古代人；老人
and	conj. 和，与；就；而且；但是；然后n. (And)人名；(土、瑞典)安德
angel	n.天使,完善可爱的人
anger	n. 怒，愤怒；忿怒vt. 使发怒，激怒；恼火vi. 发怒；恼火n.
Angle	n. 盎格鲁人
angry	adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
animal	n. 动物adj. 动物的
ankle	n. 踝关节，踝
anniversary	n. 周年纪念日
announce	vt. 宣布；述说；预示；播报vi. 宣布参加竞选；当播音员
announcer	n. [广播] 广播员；宣告者
annoy	vt. 骚扰；惹恼；打搅vi. 惹恼；令人讨厌；打搅n. 烦恼（等于annoyance）
annual	adj. 年度的；每年的n. 年刊，年鉴；一年生植物
anonymous	adj. 匿名的，无名的；无个性特征的
another	det. 又一，另一；另外的，不同的；类似pron. 又一，另一；另外的，不同的；类似adj. 不同的；另一个（人）；类似的
answer	n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应
ant	n. 蚂蚁n. (Ant)人名；(土、芬)安特
antarctic	adj. 南极的；[地理] 南极地带的n. (the Antarctic) 南极洲；南极地区
anticipate	æn’tisipeit/ vt.预料，预期，期望
antique	ːk/ adj. 古老的，年代久远的；过时的，古董的；古风的，古式的n. 古董，古玩；古风，古希腊和古罗马艺术风格vi. 觅购古玩
anxiety	n. 焦虑；渴望；挂念；令人焦虑的事
anxious	adj. 焦虑的；担忧的；渴望的；急切的
any	adj.任何的,任何一种,所有的 pron.无论那一个,任何
anybody	pron. 任何人；有人，别人；随便哪一个人n. 重要人物；平常人
anyhow	adv. 总之；无论如何；不管怎样
anyone	pron. 任何人；某个人；任何……的人；重要人物；（没有）一个人
anything	pron. 任何东西，任何事物；随便哪个东西；重要东西；某事物（用于疑问句和条件分句中）adv. 根本，究竟（表否定）
anyway	adv. 无论如何，不管怎样；总之
anywhere	adv. 在任何地方；无论何处n. 任何地方
apart	adv. 相距；与众不同地；分离着adj. 分离的；与众不同的
apartment	n. 公寓；房间
apologize	vi. 道歉，谢罪；辩解，辩护
apology	n. 道歉；谢罪；辩护；勉强的替代物
apparatus	n. 装置，设备；仪器；器官
apparent	adj. 显然的；表面上的
appeal	n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉
appear	v. 出现；显得；似乎vi. 出庭；登场
appearance	n. 外貌，外观；出现，露面
appease v. 使满足，平息，抚慰
appendix	n. 附录；阑尾；附加物
appetite	n. 食欲；嗜好
applaud	vt. 赞同；称赞；向…喝彩vi. 喝彩；鼓掌欢迎
apple	n. 苹果
appliance	n. 器具；器械；装置；应用
applicable	adj. 可适用的；可应用的；合适的
application	n. 应用；申请；应用程序；敷用；（对事物、学习等）投入
apply	vt. 申请；涂，敷；应用vi. 申请；涂，敷；适用；请求
appoint	vt. 任命；指定；约定vi. 任命；委派
appointment	n. 任命；约定；任命的职位
appraisal	n. 评价；估价（尤指估价财产，以便征税）；估计
appreciable	adj. 可感知的；可评估的；相当可观的
appreciate	vt. 欣赏；感激；领会；鉴别vi. 增值；涨价
apprehension	n. 理解；恐惧；逮捕；忧惧
approach	n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近
appropriate	adj. 适当的；恰当的；合适的vt. 占用，拨出
approval	n. 批准；认可；赞成
approve	vt. 批准；赞成；为…提供证据vi. 批准；赞成；满意
approximate	adj. 近似的，大概的v. 接近，近似；粗略估计
approximately	adv. 大约，近似地；近于
April	n. 四月
apt	adj. 恰当的；有…倾向的；灵敏的n. (Apt)人名；(法、波、英)阿普特
Arabian	adj. 阿拉伯（人）的，（与）阿拉伯（有关）的n. （史）阿拉伯人
arbitrary	adj. [数] 任意的；武断的；专制的
arc n. 弧线，弧形
architect	n. 建筑师缔造者
architecture	n. 建筑学；建筑风格；建筑式样；架构
arctic	adj. 北极的；极寒的n. 北极圈；御寒防水套鞋n. (Arctic)人名；
area	n. 区域，地区；面积；范围n. （Area）（西）阿雷亚（人名）
arena n. 1. (古罗马圆形剧场中央的)竞技场地，竞技场 2. 活动场所，竞争场所
argue	vi. 争论，辩论；提出理由vt. 辩论，争论；证明；说服n. (Argue) 人名；(英、法)阿格
argument	n. 论证；论据；争吵；内容提要；数，逻自变数；语言学主词，受词
arise	vi. 出现；上升；起立n. (Arise) （美、印、德、英）阿里塞（人名）
arithmetic	n. 算术，算法；数字
arm	n. 手臂；武器；袖子；装备；部门vi. 武装起来vt. 武装；备战
armor n. 盔甲，潜水服，装甲 v. 为……装甲
army	n. 陆军，军队
around	adv.周围,四周,到处,大约,左右 prep.在...周围,四处
arouse	vt. 引起；唤醒；鼓励vi. 激发；醒来；发奋
arrange	vt. 安排；排列；整理vi. 安排；排列；协商
arrangement	n. 布置；整理；准备；安排
array	n. 数组，阵列；排列，列阵；大批，一系列；衣服vt. 排列，部署； 打扮
arrest	v.逮捕；（司法机关）扣留（船只）；阻止；吸引；心跳停止，心脏
arrival	n. 到来；到达；到达者
arrive	vi. 到达；成功；达成；出生n. (Arrive)人名；(法)阿里夫
arrogant adj·傲慢无礼的，骄傲自大的
arrow	n. 箭，箭头；箭状物；箭头记号vt. 以箭头指示；箭一般地飞向n.
art	n.艺术,艺术品,技术,巧妙,美术
artery n. 1. 动脉 2. 干线，要道(道路、铁路等)
article	n. 文章；物品；条款；[语] 冠词vt. 订约将…收为学徒或见习生； 使…受协议条款的约束vi. 签订协议；进行控告
articulate	adj.有关节的,发音清晰的vt.用关节连接,接合,清晰明白地说
artificial	adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artillery n. 大炮，炮兵部队
artist	n. 艺术家；美术家（尤指画家）；大师
artistic	adj. 艺术的；风雅的；有美感的
as 1. conj.当…的时候
ascend	vi. 上升；登高；追溯vt. 攀登，上升
ascertain	vt. 确定；查明；探知
ascribe	vt. 归因于；归咎于
ash	n.灰,灰烬,[植]岑树
ashamed	adj. 羞愧的，羞耻的；惭愧的，内疚的；尴尬的；因怕难堪而不愿意的；觉得丢脸的
Asia	n. 亚洲
Asian	n. 亚洲人adj. 亚洲的；亚洲人的
aside	adv. 离开，撇开；在旁边n. 旁白；私语，悄悄话；离题的话prep. 在…旁边
ask	vt. 问，询问；要求；需要；邀请；讨价vi. 问，询问；要求n.
asleep	adj. 睡着的；麻木的；长眠的；不积极的；不专心的adv. 熟睡地； 进入睡眠状态（地）
aspect	n. 方面；方向；形势；外貌
aspiration n. 渴望，志向，抱负
assassination n. 暗杀，行刺
assault	n. 攻击；袭击vt. 攻击；袭击vi. 袭击；动武
assemble	vt. 集合，聚集；装配；收集vi. 集合，聚集
assembly	n. 装配；集会，集合n. 汇编，编译
assert	vt. 维护，坚持；断言；主张；声称
assess	vt. 评定；估价；对…征税
asset	n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物n.
assign	vt. 分配；指派；[计][数] 赋值vi. 将财产过户（尤指过户给债权人）
assignment	n. 分配；任务；作业；功课
assimilate	vt. 吸收；使同化；把…比作；使相似vi. 吸收；同化
assist	v.援助,帮助
assistance	ə’sistəns/ n. 协助,援助
assistant	n. 助手，助理，助教adj. 辅助的，助理的；有帮助的
associate	vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的
association	n. 协会，联盟，社团；联合；联想
assume	vi. 设想；承担；采取vt. 假定；僭取；篡夺；夺取；擅用；侵占
assumption	n. 假定；设想；担任；采取
assurance	n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
assure	vt. 保证；担保；使确信；弄清楚
astonish	v. （使）惊讶；（使）害怕
astronaut	n. 宇航员，航天员；太空旅行者
astronomy	n. 天文学
at	prep.在,于,向,对准,在...方面;Austria,奥地利
athlete	n. 运动员，体育家；身强力壮的人
Atlantic	n. 大西洋adj. 大西洋的
atlas n. 地图册
atmosphere	n. 气氛；大气；空气
atmospheric	adj. 大气的，大气层的
atom	n. 原子
atomic	adj. 原子的，原子能的；微粒子的
attach	vt. 使依附；贴上；系上；使依恋vi. 附加；附属；伴随
attack	n. 攻击；抨击；疾病发作vt. 攻击；抨击；动手干vi. 攻击；腐蚀n.
attain	vt. 达到，实现；获得；到达vi. 达到；获得；到达n. 成就
attempt	n. 企图，试图；攻击vt. 企图，试图；尝试
attend	vt. 出席；上（大学等）；照料；招待；陪伴vi. 出席；致力于；照料；照顾
attendance	n. 出席；到场；出席人数；考勤
attendant	n. 服务员，侍者；随员，陪从；参与者adj. 伴随的；陪伴的
attention	n. 注意力；关心；立正！（口令）
attentive	adj. 注意的；体贴的；留心的
attitude	n. 态度；看法；意见；姿势
attorney	n. 律师；代理人；检察官
attract	vt. 吸引；引起vi. 吸引；有吸引力
attraction	n. 吸引，吸引力；引力；吸引人的事物
attractive	adj. 吸引人的；有魅力的；引人注目的
attribute	n. 属性；特质vt. 归属；把……归于
auction n. 拍卖  v. 以拍卖方式出售，拍卖
audience	n. 观众；听众；读者；接见；正式会见；拜会
augment	vi. 增加；增大vt. 增加；增大n. 增加；增大
August	n. 八月n. （美、德、英、波）奥古斯特（人名）adj. （august）威严的，令人敬畏的
aunt	n. 阿姨；姑妈；伯母；舅妈
aural	adj. 听觉的；耳的；气味的；先兆的n. (Aural)人名；(西)奥拉尔
Australia	n. 澳大利亚，澳洲
Australian	adj. 澳大利亚的，澳大利亚人的；（动物地理区划）澳新区的；澳大利亚植物区系界的n. 澳大利亚人
authentic	adj. 真正的，真实的；可信的
author	n. 作者；作家；创始人vt. 创作出版
authoritative	adj. 有权威的；命令式的；当局的
authority	/ n. 权威；权力；当局
authorize	vt. 批准，认可；授权给；委托代替
auto	n. 汽车（等于automobile）；自动vi. 乘汽车n. (Auto)人名；(葡) 奥托
automatic	adj. 自动的；无意识的；必然的n. 自动机械；自动手枪
automation	n. 自动化；自动操作
automobile	n. 汽车vt. 驾驶汽车[ 过去式 automobiled 过去分词 automobiled 现在分词 automobiling ]
autonomous adj. 自治的，自主的，有自治权的
autonomy	n. 自治，自治权
autumn	n. 秋天；成熟期；渐衰期，凋落期adj. 秋天的，秋季的n. (Autumn) 人名；(英)奥特姆
auxiliary	adj.辅助的；副的；附加的；（发动机、设备等）备用的n. 助动
avail	v. 有助于；（使）对某人有利n. 效用，利益
available	adj. 可获得的；可购得的；可找到的；有空的
avenue	n. 大街；林荫大道；（达到某物的）途径，手段，方法，渠道
average	n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为, 均分,使平衡,达到平均水平vi.买进,卖出
avert	vt. 避免，防止；转移
aviation	n. 航空；飞行术；飞机制造业
avoid	vt. 避免；避开，躲避；消除
await	vt. 等候，等待；期待
awake	adj. 醒着的v. 觉醒，意识到；使醒来，被唤起，激发起
award	n.奖,奖品vt.授予,判给
aware	adj. 意识到的；知道的；有…方面知识的；懂世故的n. (Aware)人名；(阿拉伯、索)阿瓦雷
away	adv. 离去，离开；在远处
awful	adj. 可怕的；极坏的；极讨厌的；难受的；使人敬畏的；非常的adv. 极其，非常
awfully	adv. 可怕地；十分；非常；很
awkward	adj. 尴尬的；笨拙的；棘手的；不合适的
ax	v. 削减，删除；用斧修整；解雇；询问n. 斧头；爵士乐器（尤指吉他或萨克斯管）n. (Ax) （德、芬）阿克斯（人名）
axis	n. 轴；轴线；轴心国
baby	n.婴儿，婴孩；孩子气的人vt. 纵容，娇纵；把……当婴儿般对待
bachelor	n. 学士；单身汉；（尚未交配的）小雄兽n. (Bachelor)人名；(英) 巴彻勒
back	adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v. 后退,支持
background	n. 背景；隐蔽的位置vt. 作…的背景adj. 背景的；发布背景材料的
backward	adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏
bacteria	n. [微] 细菌
bad	adj. 坏的；严重的；劣质的n. 坏事；坏人adv. 很，非常；坏地；邪恶地n. (Bad)人名；(罗)巴德
badge	n. 徽章；证章；标记vt. 授给…徽章
badly	adv. 非常，很；严重地，厉害地；恶劣地
badminton	n. 羽毛球
baffle	vt. 使…困惑；使…受挫折；用挡板控制n. 挡板；困惑vi. 做徒劳挣扎
bag	n. 包；袋；猎获物；（俚）一瓶啤酒vt. 猎获；把…装入袋中；放弃；得分；占据，私吞；使膨大；毁掉vi. 松垂；变形
baggage	n. 行李；[交] 辎重（军队的）
bake	vt. 烤，烘焙vi. 烘面包；被烤干；受热n. 烤；烘烤食品n. (Bake) 人名；(德、瑞典)巴克
balance	n. 平衡；余额；匀称vt. 使平衡；结算；使相称vi. 保持平衡；相称；抵销n. (Balance)人名；(西)巴兰塞
bald	adj.光秃的,单调的,枯燥的
ball	n. 球；舞会vi. 成团块vt. 捏成球形n. (Ball)人名；(土)巴勒；(英
ballet	n. 芭蕾舞，芭蕾舞曲，芭蕾舞剧；芭蕾舞团；芭蕾式交流n. (Ballet) （法、美）巴莱（人名）
balloon	n.气球
bamboo n. 竹子，竹竿
ban	n.禁令vt.禁止,取缔(书刊等)
banana	n. 香蕉；喜剧演员；大鹰钩鼻n. （Banana）（葡、津）巴纳纳（人名）
band	n. 带，环；[物] 波段；（演奏流行音乐的）乐队；人群vi. 用带绑扎；给……镶边
bandage	n. 绷带vt. 用绷带包扎
bang	bæŋ/ n.巨响，枪声；猛击
bank	bæŋk/ n.银行；库；岩，堤
bankrupt	adj. 破产的vt. 使破产n. [经] 破产者
banner	n. 横幅图片的广告模式n. 旗帜，横幅,标语n. 人名(英、德、罗)班纳
banquet n. 宴会 v. 宴请，参加宴会
bar	n.酒吧间；条，杆；栅
barber	n. （为男子理发的）理发师；男子理发店v. 为（男子）理发；当理发师n. (Barber) （美）巴伯（人名）
bare	adj. 空的；赤裸的，无遮蔽的vt. 露出，使赤裸n. (Bare)人名；
barely	adv. 仅仅，勉强；几乎不；公开地；贫乏地
bargain	n. 交易；便宜货；契约vt. （谈价钱后）卖vi. 讨价还价；谈判
bark 1. n.吠叫声 vi.吠，叫
barn	n. 谷仓；畜棚；车库；靶（核反应截面单位）vt. 把……贮存入仓
barrel	‘bærəl/ n.桶；圆筒；枪管
barren	adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的n. 荒地n.
barricade n. 路障，街垒 v. 设路障，封闭，拦阻
barrier	n. 障碍物，屏障；界线vt. 把……关入栅栏n. （Barrier）（法）巴里耶（人名）
base	n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础, 基于... adj.卑鄙的,低级的
basement	n. 地下室；地窖
basic	adj. 基本的；基础的n. 基础；要素
basically	adv. 主要地，基本上
basin	n. 水池；流域；盆地；盆n. (Basin)人名；(俄)巴辛；(法)巴赞
basis	n. 基础；底部；主要成分；基本原则或原理
basket	n. 篮子；（篮球比赛的）得分；一篮之量；篮筐vt. 装入篮
basketball	n. 篮球；篮球运动
bat 1. n.球拍 2. 短棍 3. 蝙蝠
batch	n. 一批；一炉；一次所制之量vt. 分批处理n. (Batch)人名；(英)巴奇
bath	n. 沐浴；浴室；浴盆vt. 洗澡vi. 洗澡
bathe	vt. 沐浴；用水洗vi. 洗澡；沐浴n. 洗澡；游泳n. (Bathe)人名；
bathroom	n. 浴室；厕所；盥洗室
batter v. 1. 连续猛击，炮击 2. 打烂，用旧
battery	n. [电] 电池，蓄电池n. [法]殴打n. [军]炮台，炮位
battle	n. 战役；斗争vi. 斗争；作战vt. 与…作战n. (Battle)人名；(英) 巴特尔；(法)巴特勒；(西)巴特莱
bay	n.海湾；狗吠声vt. 向…吠叫vi. 吠叫；大声叫嚷n. (Bay)人名；
be	vt. 是； 有，存在； 做，成为； 发生n. (Be)人名；(缅)拜；(日) 部(姓)；(朝)培；(中非)贝
beach	n. 海滩；湖滨vt. 将…拖上岸vi. 搁浅；定居n. (Beach)人名；(英) 比奇
